enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
213,4,13.257917596666536,3,5092.523614,5219.570897,5149.7339622,57.81592388394193,5077.946010995057,5221.521913404943
212,4,13.176777489204254,4,5047.640381,5187.951227,5110.6100612,59.98818271316075,5036.12489441221,5185.09522798779
211,4,13.171186506917284,3,5663.932186,5740.798966,5704.1073142,30.89252082385209,5665.7491832817395,5742.46544511826
210,4,13.144010080641312,4,5730.440662,6185.960364,5863.1458664,183.7709187404042,5634.964132697949,6091.327600102051
209,4,12.941938533311001,3,5278.721447,5487.183311,5375.2034088,82.8143565980236,5272.375803684467,5478.031013915533
208,4,12.887355585999785,3,5040.887049,5284.337479,5128.768837600001,104.26358313685945,4999.308500103599,5258.229175096402
207,4,12.801833931120964,3,7458.096455,8039.053519,7672.180843799999,217.03812802785228,7402.692414007682,7941.669273592316
206,4,12.6732929422467,3,5068.289209,5446.674033,5150.778953399999,166.02491460556277,4944.631794142733,5356.926112657266
205,4,12.65415275709915,3,4981.443968,5217.476456,5041.3306566,98.99628776322993,4918.410530136517,5164.250783063483
204,4,12.64655917631353,2,4873.447125,5028.358332,4924.6949509999995,62.90834360765889,4846.5839255607825,5002.8059764392165
203,4,12.638464819747691,4,5372.160938,5557.99998,5475.506100799999,76.07374914606852,5381.048065283043,5569.964136316956
202,4,12.477679792333186,3,5241.164332,5391.391366,5310.6312418,53.45279758994598,5244.260827433578,5377.0016561664215
201,4,12.261958611902095,4,4958.199722,5376.008673,5053.610297,180.8634209741079,4829.038698598984,5278.181895401016
200,4,11.967067518820139,4,5054.419718,5169.096528,5113.9281498,41.98525502383627,5061.796570184866,5166.059729415134
199,4,11.946249369572026,4,5169.349398,5318.020476,5257.448104000001,69.21393822605431,5171.507648736361,5343.388559263641
198,4,11.80165056252726,4,5101.749871,5272.463492,5158.5013194,69.50542120779237,5072.198940211871,5244.80369858813
197,4,11.783836302325318,4,5027.598936,5207.872877,5087.609092000001,69.90333307295623,5000.812639974471,5174.405544025531
196,4,11.709386918195165,4,5048.734455,5252.549858,5115.578167,91.10224764302927,5002.459785953512,5228.696548046487
195,4,11.700078760418668,4,5008.282336,5203.296595,5080.8739236,86.9317437126906,4972.933907137848,5188.813940062152
194,4,11.685460025176583,4,4876.48413,5117.776571,4948.928804599999,96.81287020410777,4828.719749112549,5069.13786008745
193,4,11.595007977573792,4,4878.029076,4995.552619,4936.8017782,51.68117712947218,4872.631121177687,5000.972435222312
192,4,11.560513050898734,4,5070.599531,5235.68295,5127.9956836,64.08216419270248,5048.427167400078,5207.564199799922
191,4,11.482446298589865,4,5072.185874,5247.510295,5144.9663738,68.86797140757204,5059.455493079415,5230.477254520585
190,4,11.35694100539402,3,5137.024497,5314.160215,5219.6745196,81.02721304438279,5119.065946294502,5320.283092905498
189,4,11.282009129583258,3,4835.709413,4983.789474,4884.9844133999995,61.41611332573312,4808.72623657876,4961.242590221239
188,4,11.191045125456336,4,5267.747564,5438.654075,5360.614071800001,81.23687206817044,5259.745172432784,5461.482971167217
187,4,11.187503564245244,3,5236.748186,5407.585459,5313.3854706,74.66123267096536,5220.681305936936,5406.089635263064
186,4,11.16628447604663,4,4922.135099,5103.567662,4972.6909252000005,74.85336500486854,4879.748196735053,5065.633653664948
185,4,11.072573007210208,4,5096.549037,5325.588281,5178.2959258,89.97883781159328,5066.572442296346,5290.019409303654
184,4,11.054883536247678,4,5131.110887,5349.228623,5221.6030838,96.212765210846,5102.139157077777,5341.0670105222225
183,4,11.022838155393554,4,5061.75379,5198.302228,5101.1257755999995,57.69878539534122,5029.4832710391465,5172.768280160853
182,4,10.929883302213245,4,4891.460118,5131.864077,4973.4315016,94.26966011240305,4856.380258523084,5090.482744676916
181,4,10.752204378637906,4,5250.748065,5413.397982,5294.4236172,67.46028612360512,5210.660608617205,5378.186625782795
180,4,10.73007595499678,4,5055.374786,5184.034569,5093.6639376,52.90747655062245,5027.970628735526,5159.357246464475
179,4,10.725487308276488,3,4800.758186,5160.462196,4930.1386092,142.61620577527637,4753.0572009398575,5107.220017460143
